objectid,st_number,road_name,quadrant,str_type,suite,apt
1,5,BROOKHOLLOW RD,SW,House,,
2,3,BROOKHOLLOW RD,SW,House,,
3,293,BELLS FERRY RD,NE,House,,
4,500,KERCE RD,NE,Mobile Home,,
5,2626,BIDDY RD,SE,Mobile Home,,
6,2151,BIDDY RD,SE,House,,
7,25,OLD WADE RD,NE,House,,
8,31,OLD WADE RD,NE,House,,
9,38,OLD WADE RD,NE,House,,
10,55,OLD WADE RD,NE,House,,
11,45,YOUNGS MILL RD,NE,House,,
12,87,YOUNGS MILL RD,NE,House,,
13,107,YOUNGS MILL RD,NE,House,,
14,127,YOUNGS MILL RD,NE,House,,
15,147,YOUNGS MILL RD,NE,House,,
16,213,YOUNGS MILL RD,NE,Mobile Home,,
17,215,YOUNGS MILL RD,NE,House,,
18,219,YOUNGS MILL RD,NE,House,,
19,217,YOUNGS MILL RD,NE,House,,
20,241,YOUNGS MILL RD,NE,House,,
21,291,YOUNGS MILL RD,NE,House,,
22,4677,KINGSTON HWY,NE,House,,
23,4582,KINGSTON HWY,SE,House,,
24,4522,KINGSTON HWY,SE,House,,
25,4411,KINGSTON HWY,NE,Mobile Home,,
26,4484,KINGSTON HWY,SE,House,,
27,4431,KINGSTON HWY,NE,Mobile Home,,
28,4387,KINGSTON HWY,NE,House,,
29,4395,KINGSTON HWY,NE,Mobile Home,,
30,4382,KINGSTON HWY,SE,House,,
31,4381,KINGSTON HWY,NE,House,,
32,4353,KINGSTON HWY,NE,Mobile Home,,
33,4381A,KINGSTON HWY,NE,Inactive,,
34,4351,KINGSTON HWY,NE,Inactive,,
35,4349,KINGSTON HWY,NE,Inactive,,
36,4349A&B,KINGSTON HWY,NE,Inactive,,
37,4332,KINGSTON HWY,SE,House,,
38,4327,KINGSTON HWY,NE,House,,
39,4331,KINGSTON HWY,NE,Mobile Home,,
40,4307,KINGSTON HWY,NE,Mobile Home,,
41,4288,KINGSTON HWY,SE,House,,
42,4287,KINGSTON HWY,NE,House,,
43,4272,KINGSTON HWY,SE,House,,
44,4259,KINGSTON HWY,NE,Mobile Home,,
45,4254?,KINGSTON HWY,NE,Mobile Home,,
46,4241,KINGSTON HWY,NE,House,,
47,4237,KINGSTON HWY,NE,Mobile Home,,
48,4229,KINGSTON HWY,NE,Mobile Home,,
49,4215,KINGSTON HWY,NE,Mobile Home,,
50,4195,KINGSTON HWY,NE,Mobile Home,,
51,4183,KINGSTON HWY,NE,House,,
52,4150,KINGSTON HWY,SE,House,,
53,4053,KINGSTON HWY,NE,House,,
54,4073,KINGSTON HWY,NE,Church,,
55,4019,KINGSTON HWY,NE,House,,
56,4065,KINGSTON HWY,NE,House,,
57,4041,KINGSTON HWY,NE,,,
58,4043,KINGSTON HWY,NE,Mobile Home,,
59,4031,KINGSTON HWY,NE,Inactive,,
60,4061,KINGSTON HWY,NE,House,,
61,4048,KINGSTON HWY,SE,House,,
62,4010,KINGSTON HWY,SE,House,,
63,4014,KINGSTON HWY,SE,Inactive,,
64,214,PRATER RD,NE,House,,
65,220,PRATER RD,NE,House,,
66,222,PRATER RD,NE,Mobile Home,,
67,228,PRATER RD,NE,House,,
68,230,PRATER RD,NE,Commercial,,
69,266,PRATER RD,NE,Church,,
70,311,BREWER RD,NE,Mobile Home,,
